"CellType","Context"
"aDC","Activated dendritic cells; antigen-presenting cells that drive T-cell priming and cytokine release."
"Adipocytes","Fat-storing cells that secrete adipokines and influence inflammation and metabolism."
"Astrocytes","Glial cells maintaining neural homeostasis and contributing to neuroinflammatory signaling."
"B-cells","Adaptive immune cells producing antibodies; key in humoral immune response."
"Basophils","Granulocytes mediating allergic reactions and releasing histamine and IL-4."
"CD4+ memory T-cells","Memory helper T-cells; provide rapid recall response upon antigen re-exposure."
"CD4+ naive T-cells","Unactivated helper T-cells; precursors that differentiate into effector subsets."
"CD4+ T-cells","Helper T-cells coordinating immune activation and cytokine secretion."
"CD4+ Tcm","Central memory CD4+ T-cells; reside in lymphoid tissue and provide long-term immunity."
"CD4+ Tem","Effector memory CD4+ T-cells; circulate in peripheral tissues and respond quickly to antigens."
"CD8+ naive T-cells","Unactivated cytotoxic T-cells; precursors of effector CD8+ populations."
"CD8+ T-cells","Cytotoxic T lymphocytes; kill infected or malignant cells via perforin and granzyme release."
"CD8+ Tcm","Central memory CD8+ T-cells; maintain long-term cytotoxic memory."
"CD8+ Tem","Effector memory CD8+ T-cells; provide rapid response at tissue sites."
"cDC","Conventional dendritic cells; professional antigen-presenting cells activating T-cells."
"Chondrocytes","Cartilage-producing cells involved in extracellular matrix and joint maintenance."
"Class-switched memory B-cells","Mature B-cells expressing IgG/IgA/IgE after class switch recombination."
"CLP","Common lymphoid progenitors; give rise to B, T, and NK lineages."
"CMP","Common myeloid progenitors; precursors for granulocytes, erythrocytes, and macrophages."
"DC","General dendritic cell population mediating antigen presentation and T-cell activation."
"Endothelial cells","Vascular lining cells regulating permeability, angiogenesis, and leukocyte trafficking."
"Eosinophils","Granulocytes defending against parasites and driving Th2-type inflammation."
"Epithelial cells","Barrier cells covering organs; key in regeneration and mucosal immunity."
"Erythrocytes","Red blood cells transporting oxygen; presence indicates blood contamination in samples."
"Fibroblasts","Stromal cells synthesizing collagen and remodeling extracellular matrix."
"GMP","Granulocyte-monocyte progenitors; intermediates for myeloid differentiation."
"Hepatocytes","Liver parenchymal cells central to metabolism, detoxification, and protein synthesis."
"HSC","Hematopoietic stem cells; multipotent progenitors of all blood lineages."
"iDC","Immature dendritic cells; antigen-sampling cells before activation."
"Keratinocytes","Epidermal cells producing keratin and cytokines; maintain skin barrier."
"ly Endothelial cells","Lymphatic endothelial cells mediating drainage and immune cell trafficking."
"Macrophages","Phagocytes orchestrating tissue homeostasis, repair, and immune activation."
"Macrophages M1","Classically activated macrophages; pro-inflammatory, anti-tumor phenotype."
"Macrophages M2","Alternatively activated macrophages; tissue-repairing, immunosuppressive phenotype."
"Mast cells","Granule-rich cells mediating allergic responses and vascular permeability."
"Megakaryocytes","Large bone-marrow cells producing platelets and cytokines."
"Melanocytes","Pigment-producing cells; regulate oxidative stress and immune interactions."
"Memory B-cells","Long-lived B-cells ensuring rapid antibody production upon re-challenge."
"MEP","Megakaryocyte-erythroid progenitors; precursors of platelets and red cells."
"Mesangial cells","Kidney glomerular support cells regulating filtration and vascular tone."
"Monocytes","Circulating precursors of macrophages and dendritic cells."
"MPP","Multipotent progenitors; intermediate stem cells generating multiple blood lineages."
"MSC","Mesenchymal stem cells; multipotent stromal cells modulating immunity and repair."
"mv Endothelial cells","Microvascular endothelial cells; form small-vessel networks and mediate exchange."
"Myocytes","Muscle cells responsible for contractile function in skeletal or cardiac tissue."
"naive B-cells","Unactivated B lymphocytes awaiting antigen encounter."
"Neurons","Excitable cells transmitting signals within the nervous system."
"Neutrophils","First-responder phagocytes mediating acute inflammation and pathogen clearance."
"NK cells","Natural killer cells; innate cytotoxic effectors against tumors and virally infected cells."
"NKT","Hybrid T/NK cells recognizing lipid antigens and bridging innate and adaptive immunity."
"Osteoblast","Bone-forming cells secreting osteoid and regulating mineralization."
"pDC","Plasmacytoid dendritic cells; major producers of type I interferons in viral defense."
"Pericytes","Perivascular mural cells stabilizing capillaries and regulating blood flow."
"Plasma cells","Terminally differentiated B-cells secreting antibodies."
"Platelets","Anucleate blood fragments mediating hemostasis and releasing growth factors."
"Preadipocytes","Precursors of adipocytes; can signal inflammation during adipose expansion."
"pro B-cells","Early B-cell precursors undergoing immunoglobulin gene rearrangement."
"Sebocytes","Sebum-producing skin cells contributing to lipid homeostasis and barrier function."
"Skeletal muscle","Voluntary striated muscle; key for locomotion and energy metabolism."
"Smooth muscle","Involuntary contractile cells in vessels and viscera."
"Tgd cells","Gamma-delta T-cells; innate-like T-cells recognizing stress ligands."
"Th1 cells","CD4+ helper subset producing IFN-<U+03B3>; promotes cellular immunity."
"Th2 cells","CD4+ helper subset producing IL-4/IL-5/IL-13; promotes humoral and allergic responses."
"Tregs","Regulatory T-cells suppressing immune activation and maintaining tolerance."
"ImmuneScore","Composite index summarizing overall immune-cell infiltration."
"StromaScore","Composite index reflecting fibroblast and stromal content."
"MicroenvironmentScore","Combined immune + stromal index representing overall TME composition."
