"CellType","MedianEnrichment","EnrichmentLevel","PresenceFraction","PresenceClass","Interpretation"
"Epithelial cells",0.302476327516759,"High",0.974358974358974,"Frequent","Epithelial cells: High enrichment with frequent presence. Barrier cells covering organs; key in regeneration and mucosal immunity."
"CD8+ naive T-cells",0.269624821639105,"High",0.948717948717949,"Frequent","CD8+ naive T-cells: High enrichment with frequent presence. Unactivated cytotoxic T-cells; precursors of effector CD8+ populations."
"CLP",0.24618957158657,"High",0.948717948717949,"Frequent","CLP: High enrichment with frequent presence. Common lymphoid progenitors; give rise to B, T, and NK lineages."
"NKT",0.392093838116495,"High",0.948717948717949,"Frequent","NKT: High enrichment with frequent presence. Hybrid T/NK cells recognizing lipid antigens and bridging innate and adaptive immunity."
"mv Endothelial cells",0.202753931154003,"High",0.923076923076923,"Frequent","mv Endothelial cells: High enrichment with frequent presence. Microvascular endothelial cells; form small-vessel networks and mediate exchange."
"Eosinophils",0.261552322286426,"High",0.871794871794872,"Frequent","Eosinophils: High enrichment with frequent presence. Granulocytes defending against parasites and driving Th2-type inflammation."
"MSC",0.506171225441143,"High",0.871794871794872,"Frequent","MSC: High enrichment with frequent presence. Mesenchymal stem cells; multipotent stromal cells modulating immunity and repair."
"CD4+ memory T-cells",0.222584690749242,"High",0.846153846153846,"Frequent","CD4+ memory T-cells: High enrichment with frequent presence. Memory helper T-cells; provide rapid recall response upon antigen re-exposure."
"MPP",0.445009091595192,"High",0.82051282051282,"Frequent","MPP: High enrichment with frequent presence. Multipotent progenitors; intermediate stem cells generating multiple blood lineages."
"Basophils",0.2724390461683,"High",0.794871794871795,"Frequent","Basophils: High enrichment with frequent presence. Granulocytes mediating allergic reactions and releasing histamine and IL-4."
"Keratinocytes",0.155512715201778,"Moderate",0.974358974358974,"Frequent","Keratinocytes: Moderate enrichment with frequent presence. Epidermal cells producing keratin and cytokines; maintain skin barrier."
"Mesangial cells",0.120300037575437,"Moderate",0.948717948717949,"Frequent","Mesangial cells: Moderate enrichment with frequent presence. Kidney glomerular support cells regulating filtration and vascular tone."
"Th1 cells",0.184889224602072,"Moderate",0.948717948717949,"Frequent","Th1 cells: Moderate enrichment with frequent presence. CD4+ helper subset producing IFN-<U+03B3>; promotes cellular immunity."
"Tregs",0.13923827616901,"Moderate",0.948717948717949,"Frequent","Tregs: Moderate enrichment with frequent presence. Regulatory T-cells suppressing immune activation and maintaining tolerance."
"Class-switched memory B-cells",0.13866062685031,"Moderate",0.897435897435897,"Frequent","Class-switched memory B-cells: Moderate enrichment with frequent presence. Mature B-cells expressing IgG/IgA/IgE after class switch recombination."
"ly Endothelial cells",0.160644838033582,"Moderate",0.82051282051282,"Frequent","ly Endothelial cells: Moderate enrichment with frequent presence. Lymphatic endothelial cells mediating drainage and immune cell trafficking."
"Megakaryocytes",0.105322460087162,"Moderate",0.82051282051282,"Frequent","Megakaryocytes: Moderate enrichment with frequent presence. Large bone-marrow cells producing platelets and cytokines."
"Osteoblast",0.150800899709836,"Moderate",0.794871794871795,"Frequent","Osteoblast: Moderate enrichment with frequent presence. Bone-forming cells secreting osteoid and regulating mineralization."
"iDC",0.125146053771345,"Moderate",0.282051282051282,"Occasional/rare","iDC: Moderate enrichment with limited presence. Immature dendritic cells; antigen-sampling cells before activation."
"Melanocytes",0.071400766289797,"Low",0.974358974358974,"Frequent","Melanocytes: Low enrichment with frequent presence. Pigment-producing cells; regulate oxidative stress and immune interactions."
"Sebocytes",0.0212841006722974,"Low",0.974358974358974,"Frequent","Sebocytes: Low enrichment with frequent presence. Sebum-producing skin cells contributing to lipid homeostasis and barrier function."
"Macrophages M2",0.0864501635508111,"Low",0.923076923076923,"Frequent","Macrophages M2: Low enrichment with frequent presence. Alternatively activated macrophages; tissue-repairing, immunosuppressive phenotype."
"Neurons",0.0612341447616558,"Low",0.923076923076923,"Frequent","Neurons: Low enrichment with frequent presence. Excitable cells transmitting signals within the nervous system."
"Skeletal muscle",0.0917053549369851,"Low",0.923076923076923,"Frequent","Skeletal muscle: Low enrichment with frequent presence. Voluntary striated muscle; key for locomotion and energy metabolism."
"Macrophages",0.0975298284517741,"Low",0.897435897435897,"Frequent","Macrophages: Low enrichment with frequent presence. Phagocytes orchestrating tissue homeostasis, repair, and immune activation."
"Pericytes",0.0682306119971288,"Low",0.871794871794872,"Frequent","Pericytes: Low enrichment with frequent presence. Perivascular mural cells stabilizing capillaries and regulating blood flow."
"CD8+ T-cells",0.0646008560568458,"Low",0.82051282051282,"Frequent","CD8+ T-cells: Low enrichment with frequent presence. Cytotoxic T lymphocytes; kill infected or malignant cells via perforin and granzyme release."
"pro B-cells",0.096510806065637,"Low",0.743589743589744,"Frequent","pro B-cells: Low enrichment with frequent presence. Early B-cell precursors undergoing immunoglobulin gene rearrangement."
"Tgd cells",1.52877780439081e-16,"Low",0.743589743589744,"Frequent","Tgd cells: Low enrichment with frequent presence. Gamma-delta T-cells; innate-like T-cells recognizing stress ligands."
